"Variable","Missing_Count","Missing_Percent"
"SHTFLUNUM_C",4248,57.1044495227853
"PRHDHP1_C",4088,54.9536227987633
"LONGCOVD2_C",4023,54.0798494421293
"HICOSTR1_C",3889,52.2785320607609
"BMICAT_C",3324,44.683425191558
"WEIGHTLBTC_C",3324,44.683425191558
"EXCHPR1_C",3242,43.5811264954967
"PARWKFT2_C",3226,43.3660438230945
"PLN1PAY6R_C",3133,42.1158757897567
"EXCHANGE_C",3133,42.1158757897567
"PLNWRKR1_C",3133,42.1158757897567
"PRVSCOV1_C",3133,42.1158757897567
"PRDNCOV1_C",3133,42.1158757897567
"PRRXCOV1_C",3133,42.1158757897567
"PRDEDUC1_C",3133,42.1158757897567
"PLN1PAY5_C",3133,42.1158757897567
"PLN1PAY3_C",3133,42.1158757897567
"PLN1PAY2_C",3133,42.1158757897567
"PLN1PAY1_C",3133,42.1158757897567
"POLHLD1_C",3133,42.1158757897567
"PARWORK2_C",2376,31.9397768517274
"LEGMSTAT2_C",2367,31.8187928485011
"PARSAMEOPP_C",2367,31.8187928485011
"PARSEX2_C",2366,31.805350181476
"PARAGETC2_C",2366,31.805350181476
"MARSTAT2_C",2366,31.805350181476
"MARITAL2_C",2366,31.805350181476
"RACPARSC_C",2352,31.6171528431241
"HISPPARSC_C",2352,31.6171528431241
"TSTSMHP2_C",1628,21.8846619169243
"TASTEUNW_C",1628,21.8846619169243
"TASTEDF_C",1628,21.8846619169243
"SMELLPHT_C",1628,21.8846619169243
"SMELLDF_C",1628,21.8846619169243
"CRIME_C",1628,21.8846619169243
"TRAFFIC_C",1628,21.8846619169243
"PARKS_C",1628,21.8846619169243
"SIDEWALK_C",1628,21.8846619169243
"BIKE_C",1628,21.8846619169243
"WALK_C",1628,21.8846619169243
"STRENGTH_C",1628,21.8846619169243
"PADAYS_C",1628,21.8846619169243
"PEGYM_C",1628,21.8846619169243
"SPORT_C",1628,21.8846619169243
"DRYMTH12M_C",1628,21.8846619169243
"COLDFLU12M_C",1628,21.8846619169243
"PARWKFT1_C",1614,21.6964645785724
"WLK13M_C",1275,17.1394004570507
"WLK100_C",1271,17.0856297889501
"SCHDYMSSTC_C",1226,16.4807097728189
"DISAB5_C",1226,16.4807097728189
"BEHDFMKFR_C",1226,16.4807097728189
"BEHDFCHG_C",1226,16.4807097728189
"BEHDFFCS_C",1226,16.4807097728189
"BEHDFCNTR_C",1226,16.4807097728189
"DEPFREQ_C",1226,16.4807097728189
"ANXFREQ_C",1226,16.4807097728189
"UNDRSTOHH_C",1226,16.4807097728189
"UNDRSTIHH_C",1226,16.4807097728189
